City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,Vestmannaeyjar,63.4427,-20.2734,52.79,71,40,17.27,IS,2022-06-15 18:47:50
237,Ahipara,-35.1667,173.1667,56.89,75,92,6.71,NZ,2022-06-15 18:45:04
238,Haines Junction,60.7522,-137.5108,53.55,58,100,1.14,CA,2022-06-15 18:44:07
239,Sungairaya,0.7,108.9,77.36,87,100,1.7,ID,2022-06-15 18:47:51
240,Chapais,49.7834,-74.8492,74.98,32,94,11.12,CA,2022-06-15 18:45:48
241,Ponta Delgada,37.7333,-25.6667,68.72,83,40,9.22,PT,2022-06-15 18:47:51
242,Ilulissat,69.2167,-51.1,37.42,70,20,6.91,GL,2022-06-15 18:43:59
243,Ponta Do Sol,32.6667,-17.1,72.72,68,16,12.66,PT,2022-06-15 18:45:52
244,Meulaboh,4.1363,96.1285,75.06,86,100,5.86,ID,2022-06-15 18:47:51
245,Verdun,49.25,5.3333,70.03,70,28,3.98,FR,2022-06-15 18:47:52
246,Sao Joao Da Barra,-21.6403,-41.0511,77.09,57,100,8.32,BR,2022-06-15 18:44:25
247,Hitachi,36.6,140.65,63.66,91,100,2.68,JP,2022-06-15 18:47:52
248,Itigi,-5.7,34.4833,66.47,55,51,4.99,TZ,2022-06-15 18:47:52
249,Poltavka,54.3663,71.7632,56.91,85,96,11.25,RU,2022-06-15 18:47:53
250,Saga,33.2493,130.2988,72.09,89,100,2.17,JP,2022-06-15 18:47:53
251,Paamiut,61.994,-49.6678,37.71,80,3,20.4,GL,2022-06-15 18:47:53
252,Aki,33.5,133.9,69.08,93,100,0.2,JP,2022-06-15 18:47:54
253,Aldan,58.6031,125.3894,44.87,88,8,1.66,RU,2022-06-15 18:47:54
254,Butajira,8.1167,38.3667,62.29,71,86,5.37,ET,2022-06-15 18:47:54
255,Jackson,42.4165,-122.8345,71.92,46,44,5.01,US,2022-06-15 18:47:18
256,Liverpool,53.4106,-2.9779,68.05,54,0,12.66,GB,2022-06-15 18:47:55
257,Clyde River,70.4692,-68.5914,41.23,93,100,11.5,CA,2022-06-15 18:45:14
